Country,Vendor,SKUs
GRC,Metro,324
GRC,My Cava (SKG),245
GRC,ELAIS-Unilever Hellas,153
GRC,L' Oreal Hellas S.A.,151
GRC,Coca-Cola HBC Greece S.A.I.C.,148
GRC,Nestle,147
GRC,Kapnopolis,123
GRC,Hellenic Dairies,122
GRC,Procter & Gamble Hellas,111
GRC,Mondelez Hellas SA,109
GRC,Flavor Factory,106
GRC,Mylonas,103
GRC,Papadopoulos S.A.,99
GRC,Biodiatrofiki,98
GRC,Elittera Hellas S.A.,94
GRC,Reckitt Benckiser Hellas Healthcare S.A.,87
GRC,PepsiCo,85
GRC,Akro Fruits,79
GRC,Smok-e,79
GRC,Karoulias S.A.,77
GRC,Get Foods,76
GRC,Olympic Brewery,74
GRC,BIC,73
GRC,Rea Fruits,73
GRC,Atlanta S.A,72
GRC,Barba Stathis S.A.,72
GRC,Henkel Hellas S.A.,71
GRC,Kalamea,70
GRC,Elbisco S.A.,68
GRC,Froutolachaniki Kritis S.A.,68
GRC,Melissa S.A.,68
GRC,Barilla Hellas S.A.,66
GRC,Dynamic New Company Of Distribution & Warehousing SA,65
GRC,Froneri,65
GRC,Karamolegos,64
GRC,Mars Hellas S.A.,63
GRC,Froutalex,62
GRC,Mega S.A.,61
GRC,Delta Foods S.A.,58
GRC,Optima,58
GRC,BIOXYM S.A.,57
GRC,Biohealth LTD,57
GRC,Omospondia,56
GRC,Santikos Costas & C.O. Ο.Ε.,56
GRC,Sdoukos,55
GRC,Unilever Ice Cream,55
GRC,Jacobs Douwe Egberts GR LTD,53
GRC,Ifantis Food Group,52
GRC,Desyllas,50
GRC,Gusto Raro,50
GRC,ION SA,50
GRC,Bikas S.A.,48
GRC,Procos,48
GRC,Petline S.A.,46
GRC,Friesland Campina Hellas S.A.,44
GRC,Sun Spices,44
GRC,Foodlink S.A.,43
GRC,Arla Foods Hellas S.A.,41
GRC,Eurocatering,40
GRC,Mevgal A.E.,40
GRC,Stergiou,38
GRC,"Passalis, G. & J., S.A",37
GRC,Minerva S.A.,36
GRC,Premium Brands,36
GRC,Athenian Brewery,34
GRC,Farm Koukaki S.A.,34
GRC,D. E. Thomadakis & Sons LTD,33
GRC,Anthen IKE,32
GRC,Johnson & Johnson,31
GRC,Rolco Bianil S.A.,31
GRC,Bioagros,29
GRC,Fage,29
GRC,Mourtzilas,29
GRC,Nora's Deli,29
GRC,Thomas Nakas Ekdotiki A.E,29
GRC,Septona,28
GRC,Creta Farms Foods S.A.,27
GRC,Diageo,27
GRC,Alfa Pastry,26
GRC,Pindos,26
GRC,Afoi K. Karageorgiou A.E.B.E,25
GRC,Agrino,25
GRC,Bolton Group,25
GRC,Cardinal SA,25
GRC,Chitos S.A.,24
GRC,Cold Sin S.A.,24
GRC,Elgio,24
GRC,Elgeka S.A.,23
GRC,Fimi-Zidinakis S.A.,23
GRC,Perfetti Van Melle,23
GRC,CPW HELLAS,22
GRC,Paliria,22
GRC,Nitsiakos,21
GRC,Violanta,21
GRC,Brands' Den,20
GRC,Family Farms,20
GRC,Konva S.A.,20
GRC,Kypropharm Hellas,20
GRC,Papastratos,20
GRC,Samouri,20
GRC,StayiaFarm,20
GRC,Dardanel Greece M. S.A.,19
GRC,Diplomat,19
GRC,El Sabor Mexican Foods S.A.,18
GRC,Endless EC- EΥΡΩΧΑΡΤΙΚΗ ΑΕΒΕ,18
GRC,Haitoglou Bros S.A.,18
GRC,Pegasos S.A.,18
GRC,Sovolos,18
GRC,Traditional Gourmet,18
GRC,Hell Greece Ltd,17
GRC,Alterra S.A.,16
GRC,Beverage World,16
GRC,Kampasi EPE,16
GRC,Mandrekas S.A.,16
GRC,Plan(e)t Foods,16
GRC,K22 Global Traders,15
GRC,Magic Herb,15
GRC,Rubik's Laboiratoire P. C.,15
GRC,Agrokipos Chalvatzi,14
GRC,Candelinas,14
GRC,Country Breadery,14
GRC,Ohonos Snack,14
GRC,Artoviomichania Dervisi ABEE,13
GRC,Epsa S.A.,13
GRC,Red Bull Hellas,13
GRC,Thrakis Geuseis,13
GRC,Tyrokomeio Kostarelou,13
GRC,Holy Llama,12
GRC,Select Fish,12
GRC,Souroti,12
GRC,Sweets and Buffalo Lab Mon. A. E.,12
GRC,Vikos S.A.,12
GRC,Yum Tales,12
GRC,ARVANITIS S.A.,11
GRC,Anassa Organics,11
GRC,Fresh & Tasty,11
GRC,Kasidis,11
GRC,Kiriakakis Foods,11
GRC,MPOUMPAS KREATA IPEIROU,11
GRC,Noma,11
GRC,Tsakiris,11
