Country,Vendor,SKUs
HUN,Wolt Market DC,1616
HUN,Vimpex Drink Kft,847
HUN,Royal Goods Kft,734
HUN,Tesco,297
HUN,MEGADISZKONT,240
HUN,Bijó Kft .,227
HUN,Alnatura,225
HUN,Orbico Hungary Kft.,217
HUN,Metro Hungary,204
HUN,Budapest Bortarsasag Kft,181
HUN,Tip Top '92 Kft.,173
HUN,Coca-Cola HBC Magyarország Kft.,159
HUN,Unilever Magyarország Kft (non-IC),151
HUN,Iványi-Zöldségkert Kft.,135
HUN,Nestlé Hungária Kft.,126
HUN,Import-Trade Hungary Kft.,114
HUN,Szentkirályi Magyarország Kft.,103
HUN,Cerbona Webshop,84
HUN,Maresi Foodbroker Kft.,77
HUN,Dango Fruit Kft.,72
HUN,Unilever Magyarország Kft (TMICC),72
HUN,Vilgain s.r.o,71
HUN,Foodnet Zrt,68
HUN,White Lake Kft.,68
HUN,Hellas Invest,64
HUN,Vargaker Kft.,52
HUN,Fackelmann,51
HUN,Gafood Kft.,50
HUN,Bidfood Hungary Kft.,49
HUN,Rákász Família Kft.,46
HUN,ESSITY HUNGARY Kft.,45
HUN,Lindt,42
HUN,Brand Passion Group Kft.,40
HUN,Greenmonkey Kft.,40
HUN,Ludwig & Mentesi Kft.,40
HUN,BioTech USA Kft.,39
HUN,Medist Hungary Kft.,35
HUN,REGIO Játékkereskedelmi Kft.,35
HUN,Sarantis Hungary Kft.,32
HUN,Aranycipó Kft.,31
HUN,Planet Line Hungary Kft.,30
HUN,BLTN Invest Kft.,29
HUN,Mary-Ker Kft.,29
HUN,VitalPlus Trade,29
HUN,Crocodille HU Kft.,28
HUN,Gerda Pane Kft.,28
HUN,Cserpes - Sajtműhely Kft.,27
HUN,Félegyházi Pékség Kft.,27
HUN,Eisberg Hungary Kft.,25
HUN,Kovászos Kenyér Kft.,24
HUN,Maresi Foodbroker Kft. (DC),24
HUN,Mayer Szörp Kft.,24
HUN,Bertis Hungary (Székely csemege),23
HUN,Bestar,23
HUN,Premium Natura,23
HUN,Gastro Mercato Kft.,22
HUN,Vajda Papír Kft.,21
HUN,Anjuna Ice Pops Kft,20
HUN,Ceres Zrt.,18
HUN,Polcz Food Kft.,18
HUN,Cloud 9,16
HUN,Pedró Pékség,16
HUN,Breier Farm Kft.,15
HUN,Pozsonyi Pagony Kft,15
HUN,Alföldi Garabonciás Kft.,14
HUN,FoodBox Kft.,14
HUN,MAKROM Kft.,14
HUN,Patagonia Trading Hungary Kft,14
HUN,Patti-'95 Kft,14
HUN,AlphaVet,13
HUN,Hegedűs-Hús Manufaktúra Kft.,13
HUN,Kométa 99 Zrt.,13
HUN,Magyar Méz Manufaktura Kft.,13
HUN,Naszálytej Zrt.,13
HUN,SeaFood Hungary Kft.,13
HUN,Khell-Food Kft.,12
HUN,Martontej Kft.,12
HUN,Mixology,12
HUN,Pilsner Bt.,12
HUN,Sushitime Hungary Kft.,12
HUN,Eco-Meat Kft.,11
HUN,MATE DISZTRIBÚCIÓS BT,11
HUN,Kedvenc Kereskedőház,10
HUN,F&R Partner Sütőipari Kft.,9
HUN,Maszlik-tej Kft.,9
HUN,Scrub Daddy Hungary Zrt.,9
HUN,Yettel Magyarország Zrt.,9
HUN,CZELLI,8
HUN,Tebike Kft.,8
HUN,Fresco di Forno Kft.,7
HUN,Ízgyűjtő Kft.,7
HUN,Baromfiudvar,6
HUN,Halker Kft.,6
HUN,Hungerit Zrt.,6
HUN,Kdombó Nonprofit Kft.,6
HUN,Kincses-Molnár Rózsa (őstermelő),6
HUN,Gluténmentes Piac és Pékség Kft.,5
HUN,Zollai Baromfi és Húsfeldolgozó Kft.,5
HUN,Frozen Moto Kft.,4
HUN,Samurai Shoelace Kft.,4
HUN,Artificer Hungary Kft.,3
HUN,Farm Tojás Kft.,3
HUN,Kotogány János Zoltán E.V.,2
HUN,Kovács Dávid E.V.,2
HUN,Rich-Eggs Kft.,2
HUN,YouTyúk Kft.,1
