Country,Vendor,SKUs
SWE,Dagab Inköp & Logistik AB,3546
SWE,Out of Home AB,904
SWE,Arla Foods AB,145
SWE,SMD Logistics AB,95
SWE,Fruktimporten Stockholm AB,72
SWE,Gastro Import Sverige AB,67
SWE,Unilever Sverige AB,58
SWE,Hkscan Sweden AB,54
SWE,PIERRE ROBERT GROUP AS,39
SWE,Engelmanns Sweden AB,31
SWE,Polfärskt bröd AB,28
SWE,Guldfågeln AB,21
SWE,Peech ApS,18
SWE,Skånemejerier Försäljning AB,17
SWE,GetTested International AB,16
SWE,Mimea/Bringbloom AB,13
SWE,Norvida AB,13
SWE,Hemmakväll AB,11
SWE,ERSSONS SICKLA AB,10
SWE,BK Brewing Co AB,7
SWE,Kelly White,7
SWE,Lillängshamnens Fiskrökeri AB,7
SWE,JOHAN I HALLEN & BERGFALK,6
SWE,GOWELL AB,5
SWE,Gateau,4
SWE,Smålandskräftan AB,4
SWE,TooGoodToShrink Sweden,3
SWE,BR PERSSONS,1
